Isin,CurrencyCode,Ticker,company_name,environment_grade,environment_level,environment_score,esg_id,exchange_symbol,governance_grade,governance_level,governance_score,last_processing_date,social_grade,social_level,social_score,stock_symbol,total,total_grade,total_level
US4595061015,USD,System.Object[],International Flavors & Fragrances Inc.,A,High,510,3830,NYSE,BB,Medium,305,20230222,BB,Medium,339,IFF,1154,BBB,High
US45866F1049,USD,System.Object[],"Intercontinental Exchange, Inc.",A,High,500,3815,NYSE,BB,Medium,300,20230222,BB,Medium,344,ICE,1144,BBB,High
US4581401001,USD,System.Object[],Intel Corporation,BB,Medium,395,3799,,A,High,565,20230222,BBB,High,426,INTC,1386,A,High
US45784P1012,USD,System.Object[],Insulet Corporation,A,High,510,3787,NASDAQ,B,Medium,250,20230222,BB,Medium,359,PODD,1119,BBB,High
US45337C1027,USD,System.Object[],Incyte Corporation,A,High,520,3716,NASDAQ,BB,Medium,300,20230222,BB,Medium,302,INCY,1122,BBB,High
US4523271090,USD,System.Object[],"Illumina, Inc.",A,High,520,3678,NASDAQ,BB,Medium,300,20230222,BB,Medium,322,ILMN,1142,BBB,High
US4523081093,USD,System.Object[],Illinois Tool Works Inc.,A,High,510,3677,NYSE,BB,Medium,305,20230222,BB,Medium,331,ITW,1146,BBB,High
US45168D1046,USD,System.Object[],"IDEXX Laboratories, Inc.",A,High,570,3655,NASDAQ,BB,Medium,305,20230222,BB,Medium,387,IDXX,1262,A,High
US45167R1041,USD,System.Object[],IDEX Corporation,A,High,500,3654,NYSE,B,Medium,265,20230222,BB,Medium,300,IEX,1065,BBB,High
US4464131063,USD,System.Object[],"Huntington Ingalls Industries, Inc.",A,High,525,3605,NYSE,BB,Medium,305,20230222,BB,Medium,315,HII,1145,BBB,High
US49338L1035,USD,System.Object[],"Keysight Technologies, Inc.",A,High,555,4095,NYSE,BB,Medium,315,20230222,BB,Medium,351,KEYS,1221,A,High
US4943681035,USD,System.Object[],Kimberly-Clark Corporation,A,High,540,4106,NYSE,BB,Medium,310,20230222,BB,Medium,303,KMB,1153,BBB,High
